Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
P01591,0.13966429785268458,-0.20128095347211378,0.23926821577263083,0.8139998065018192,0.9806880266506459,-4.609241688304649
V9GY82,0.12825384425669406,2.017069403251712,0.2371799412467174,0.8155909722173228,0.9806880266506459,-4.609257238603861
A0A7P0TAP9,-0.11624380762727671,1.0981600824544777,-0.2367684535109825,0.8159046050390707,0.9806880266506459,-4.609260286890804
A0A075B6G6,0.19320906362571355,-2.4994085835242394,0.236149439919688,0.8163764734896664,0.9806880266506459,-4.609264862691499
E9PFA2,0.18012883710981376,-2.004590003567635,0.23608908258723107,0.8164224872527877,0.9806880266506459,-4.6092653082260195
Q9H116,-0.1424324591099846,-1.1616982410538625,-0.23608486309251528,0.8164257040350988,0.9806880266506459,-4.609265339368501
Q9NR16,-0.13299437750334575,1.2274787683672417,-0.2358109770700661,0.8166345115868638,0.9806880266506459,-4.609267359642768
Q86Y33,-0.13988568215689945,4.946402383605439,-0.2357183569619261,0.8167051273270495,0.9806880266506459,-4.609268042316227
P15144,-0.1353304803175921,2.4376778756378625,-0.2349988781003011,0.8172537304777512,0.9806880266506459,-4.609273336360462
D6RIR8,0.3020835315745596,-3.9398146132655207,0.23479850543391725,0.8174065322995696,0.9806880266506459,-4.609274807894384
D3YTI2,0.20676383726752112,-3.6644667029210045,0.23476881330693994,0.8174291758123678,0.9806880266506459,-4.609275025847618
P35527,-0.11331347379285339,-1.3557615738190147,-0.2336482184565561,0.8182838747939236,0.9806880266506459,-4.609283231632263
O94887,0.0915959631991906,0.1594530592145805,0.23337152476824388,0.818494950894064,0.9806880266506459,-4.609285251817126
M0R165,0.1408604237543255,-1.026730571438162,0.23297824215954405,0.8187949918489326,0.9806880266506459,-4.609288119173245
P59535,-0.13039566126974422,0.1836049739480862,-0.23031861357792985,0.820824823447232,0.9806880266506459,-4.6093073848383295
A0A5H1ZRS1,-0.1381927467960038,-2.6661381753290434,-0.22951172496211308,0.821440903153982,0.9806880266506459,-4.6093131865816765
B4DJ23,-0.1552139819741262,-0.19800525759822446,-0.22910181505192642,0.8217539260228173,0.9806880266506459,-4.609316126246473
A0A494BZW2,0.13766699684748174,0.04752791816922058,0.2289525400164742,0.8218679258883149,0.9806880266506459,-4.6093171954827845
F8WFE0,0.10182757935639852,2.578894650642146,0.22884162601465918,0.8219526324877527,0.9806880266506459,-4.609317989499003
A0A804HIJ8,0.08897726553077501,3.709144020011517,0.22681291593278766,0.8235023883369895,0.9806880266506459,-4.609332445726759
Q9NVH2,-0.16974107498320756,-1.575154700611091,-0.22672902560097868,0.8235664894907803,0.9806880266506459,-4.609333040778676
D6R9F2,-0.2795372064193904,-7.003024424521366,-0.22662980389614656,0.8236423071162287,0.9806880266506459,-4.609333744298786
Q8IYT3,0.13120743338015028,3.099011425839173,0.22651933662284088,0.8237267198703008,0.9806880266506459,-4.609334527196696
O14978,0.30498365272557093,-2.2607192806952945,0.2258663426617529,0.8242257461180761,0.9806880266506459,-4.609339147364592
H0Y9D3,0.2472085703744007,-9.817619822121518,0.22582525628184671,0.8242571474616953,0.9806880266506459,-4.6093394376252546
F8VPD4,0.11990159674787815,-0.47144934860151255,0.22575649127178554,0.8243097036156908,0.9806880266506459,-4.609339923308962
Q9HC96,0.14705722847190628,-1.4175709571165043,0.22543290372748473,0.8245570287478229,0.9806880266506459,-4.60934220683066
Q6UXA7,-0.1502415061123211,0.059145395315267656,-0.22529065193283995,0.8246657610028647,0.9806880266506459,-4.609343209662682
J3QRN1,0.16602487304995694,-6.675315098158819,0.2242145472674849,0.8254884170095199,0.9806880266506459,-4.60935077562776
A2RUS2,-0.11796842395554552,0.7374795178695407,-0.2240154114784761,0.8256406746174723,0.9806880266506459,-4.609352171806106
E5RJR3,0.1320291151266196,0.2274724310328444,0.22398119641254807,0.8256668359044373,0.9806880266506459,-4.609352411571034
P03973,0.15860295529867008,-2.7099480038380324,0.2238244845410521,0.8257866625677515,0.9806880266506459,-4.609353509280399
Q9UJX3,-0.1399428139494603,-1.3931612081199136,-0.22120125826193696,0.8277931206302807,0.9806880266506459,-4.609371771369543
M0R009,-0.10716685510841495,-0.750722168870617,-0.2210391946422873,0.8279171207962468,0.9806880266506459,-4.60937289263207
A0A669KBL1,-0.2050367318181796,-3.2465498174629,-0.22073196465209124,0.8281522054190679,0.9806880266506459,-4.609375016022821
P23142,0.11207005566133454,-1.2610039284937813,0.21943868256598756,0.8291419773126869,0.9806880266506459,-4.60938392242887
Q14568,-0.11418341725157188,1.3295971442836179,-0.21915312711369106,0.8293605582184346,0.9806880266506459,-4.609385881986479
C9JEU5,-0.10391582924734521,4.79967074391501,-0.21811175814020586,0.830157805954938,0.9806880266506459,-4.609393006777139
Q7Z3E2,-0.12822782628985085,1.8517775974367914,-0.21783758311063997,0.8303677399253948,0.9806880266506459,-4.609394877039142
K7ES05,-0.07344461169080407,4.172350777518837,-0.21779785202916235,0.8303981628500345,0.9806880266506459,-4.609395147868562
A0A087WWT2,-0.09509612226405012,0.4103614183164997,-0.21760344297640707,0.8305470299750618,0.9806880266506459,-4.609396472366323
Q15393,-0.10863519520911114,3.01837180096709,-0.2172075743160975,0.8308501837721193,0.9806880266506459,-4.609399165783852
Q9Y4G2,-0.16550033436871936,1.5439757618389147,-0.2169026435404067,0.8310837167474421,0.9806880266506459,-4.609401237172442
O43150,-0.11100155492107477,-0.10093786877815361,-0.21607089790731665,0.8317207971156199,0.9806880266506459,-4.609406872583654
Q6ZP82,-0.13153145483246242,-1.2789594503799044,-0.21596203350808657,0.8318041914285204,0.9806880266506459,-4.609407608600144
Q7L273,-0.08447654218605183,-0.90566186949448,-0.21594153584370804,0.8318198936597294,0.9806880266506459,-4.609407747140885
A0A1B0GTV9,-0.13315182027376937,-1.8411508415981206,-0.21577551957544844,0.8319470731007882,0.9806880266506459,-4.609408868741867
Q53S48,-0.08792637975550555,0.5149259705249892,-0.21577490963085208,0.8319475403675999,0.9806880266506459,-4.609408872861064
P00734,-0.1013736027837786,3.17551339377451,-0.21553113818125402,0.8321342942023673,0.9806880266506459,-4.609410518224128
O43361,0.24658467781365978,-5.250857981490247,0.21403874024121383,0.8332778499824918,0.9806880266506459,-4.6094205512548125
Q6PJF5,0.30303026644797937,-0.2693638528967168,0.21380373645742365,0.833457957936624,0.9806880266506459,-4.609422124848593
A0A0A0MSX9,-0.15382627324752418,-1.5209373345946675,-0.21373422423365265,0.8335112342568521,0.9806880266506459,-4.609422589977455
H0Y555,-0.22994728307646373,-5.15610043718701,-0.21202871834141332,0.8348186491542263,0.9814587007762364,-4.60943395523004
A0A7I2V2L4,-0.17782727788586827,-2.168164644071281,-0.21142055907138652,0.8352849763325356,0.9814587007762364,-4.609437986143982
A0A590UKC3,0.18362327713474302,-3.5504793774587986,0.20957967968882873,0.8366969213109878,0.9814587007762364,-4.609450117814237
Q86YW9,-0.16646947899166564,-1.3237872816307485,-0.20901263263161915,0.8371319601436169,0.9814587007762364,-4.6094538336015205
H3BSS6,-0.13527238660303564,-0.6216251060353404,-0.2086290342600398,0.8374262880661186,0.9814587007762364,-4.60945634162674
A0A1W2PPI5,-0.09422882223043505,3.4442735798955124,-0.20797072021486204,0.8379314584542561,0.9814587007762364,-4.609460635164516
P01700,-0.10150376278422812,1.7989309692436253,-0.20764335539665027,0.8381826956965719,0.9814587007762364,-4.609462765247804
P13010,0.06822941209407846,0.36225249253669695,0.2060182823976288,0.8394301311790431,0.9814587007762364,-4.609473290062841
O14983,0.08341867524804919,-0.48096758839069936,0.20601782203612026,0.8394304846238263,0.9814587007762364,-4.6094732930327895
