Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
A0A3B3ISQ4,-267.5234196884617,-234.74835631730767,-1.4676400990131178,0.16645503511338036,0.6190037569142104,-4.595119474941827
P58397,-583.9291980976922,-153.28445247192306,-1.4671679399162953,0.16658138803193667,0.6190037569142104,-4.5951194753574915
P01011,-4298.86625384615,19956.61269356923,-1.4665876942646832,0.16673677627101494,0.6190037569142104,-4.595119475868231
F8WAL5,-3608.458266538455,25192.746376223076,-1.465635585778708,0.16699201287648627,0.6190037569142104,-4.595119476706106
Q96T23,743.9667595730773,1112.143523871154,1.4641012369610664,0.16740402587082787,0.6190037569142104,-4.595119478055879
H3BT52,-1938.2016073846135,8082.161337530769,-1.4639497860223312,0.16744474079099464,0.6190037569142104,-4.595119478189077
P13671,-969.2466399230775,3755.2403525692307,-1.463293966708193,0.1676211424751585,0.6190037569142104,-4.595119478765796
H3BSS6,-281.7770303538461,27.7290853038462,-1.460852740755531,0.1682791563217398,0.6190037569142104,-4.595119480911613
P02671,-10097.168037692296,46738.74460699231,-1.459718483433198,0.16858562524439064,0.6190037569142104,-4.595119481908097
D6RBD9,74.03142930846172,-727.3384437726922,1.4587302643329165,0.16885301804203606,0.6190037569142104,-4.595119482776011
Q9BZ95,-372.17569647692295,642.9593698692308,-1.4560243687298695,0.1695870057240139,0.6190037569142104,-4.595119485151208
E9PM66,-341.48925291407755,-409.99221408988456,-1.4547270378930006,0.169939862823894,0.6190037569142104,-4.595119486289313
A0A286YFD6,787.3252125919233,-314.1848500205769,1.4546804604475039,0.16995254274168303,0.6190037569142104,-4.595119486330166
S4R322,-262.45509787307685,313.7300323942308,-1.4540868110078455,0.17011422332536233,0.6190037569142104,-4.595119486850804
P10643,-543.8727551115389,1452.1282217057692,-1.4536360840121216,0.17023706519012563,0.6190037569142104,-4.595119487246035
A0A494C1K0,-1028.9390524188466,850.9988363982693,-1.4536255141790726,0.1702399468031463,0.6190037569142104,-4.595119487255301
P01591,-348.5130638923083,287.9370667346154,-1.4533934283138765,0.1703032298054307,0.6190037569142104,-4.595119487458791
A0A3B3IRW7,-1422.6832208888466,24.868958510192346,-1.453208680775588,0.17035361915394948,0.6190037569142104,-4.5951194876207655
Q2V2M9,-331.8311710215384,296.62316162769235,-1.4522130364094206,0.1706253937799915,0.6190037569142104,-4.5951194884935225
Q7Z3T8,-82.87185056596161,-754.1332145764422,-1.4515724226368563,0.17080045034119168,0.6190037569142104,-4.595119489054932
Q6UB98,-3207.6568853846184,16991.36898637692,-1.4515682734065116,0.17080158466683554,0.6190037569142104,-4.595119489058568
A0A7I2V3Q9,-349.9215769807689,538.518674048077,-1.4511294663348888,0.17092158239662325,0.6190037569142104,-4.595119489443061
C9J0V9,-369.0562472342305,-483.87705327173074,-1.4498794231900556,0.171263811486926,0.6190037569142104,-4.5951194905380985
A0A096LNH6,-1120.954241423079,3751.7834283923075,-1.449335891613359,0.17141279543090507,0.6190037569142104,-4.595119491014104
Q9NS91,-4225.772452615387,15521.378223261538,-1.4479142290448492,0.17180299232007354,0.6190037569142104,-4.595119492258782
H0Y3P2,-996.9377869230773,2937.9670611961537,-1.4471788611537384,0.17200511731763352,0.6190037569142104,-4.595119492902394
H0YN14,-59.341631518077406,-782.513624049423,-1.4465542179575643,0.1721769648238839,0.6190037569142104,-4.595119493448984
